ABA_ROW_NAME,ABA_CODE,MATCH_VARIANT,SPECIES_CODE
Red-billed Pigeon,2.0,red billed pigeon,rebpig1
Spotted Dove,2.0,spotted dove,spodov2
Oriental Turtle-Dove,4.0,oriental turtle dove,ortdov
European Turtle-Dove,5.0,european turtle dove,eutdov
Eurasian Collared-Dove,1.0,eurasian collared dove,eucdov
African Collared-Dove (1969-1994),6.0,african collared dove,afrcod1
Common Wood-Pigeon (Wood Pigeon),5.0,common wood pigeon,comwop2
Rock Pigeon,1.0,rock pigeon,rocpig1
Zebra Dove,2.0,zebra dove,zebdov
,nan,nan,
Smooth-billed Ani,3.0,smooth billed ani,smbani
Groove-billed Ani,2.0,groove billed ani,grbani
Greater Roadrunner,1.0,greater roadrunner,greroa
Common Cuckoo,3.0,common cuckoo,comcuc
Oriental Cuckoo,4.0,oriental cuckoo,oricuc2
Dark-billed Cuckoo,5.0,dark billed cuckoo,dabcuc1
Yellow-billed Cuckoo,1.0,yellow billed cuckoo,yebcuc
Mangrove Cuckoo,2.0,mangrove cuckoo,mancuc
Black-billed Cuckoo,1.0,black billed cuckoo,bkbcuc
,nan,nan,
Lesser Nighthawk,1.0,lesser nighthawk,lesnig
Common Nighthawk,1.0,common nighthawk,comnig
Antillean Nighthawk,2.0,antillean nighthawk,antnig
Common Pauraque,2.0,common pauraque,compau
Common Poorwill,1.0,common poorwill,compoo
Chuck-will's-widow,1.0,chuck will s widow,chwwid
Buff-collared Nightjar,3.0,buff collared nightjar,bucnig
Eastern Whip-poor-will,1.0,eastern whip poor will,easwpw1
Mexican Whip-poor-will,2.0,mexican whip poor will,souwpw1
Gray Nightjar,5.0,gray nightjar,grynig1
,nan,nan,
Black Swift,2.0,black swift,blkswi3
White-collared Swift,4.0,white collared swift,whcswi
Chimney Swift,1.0,chimney swift,chiswi
Vaux's Swift,1.0,vaux s swift,vauswi4
White-throated Needletail,5.0,white throated needletail,whtnee2
Mariana Swiftlet,2.0,mariana swiftlet,marswi
Common Swift,4.0,common swift,comswi
Pacific (Fork-tailed) Swift,4.0,pacific swift,fotswi
White-throated Swift,1.0,white throated swift,whtswi
Antillean Palm Swift (Palm-Swift),5.0,antillean palm swift,anpswi
,nan,nan,
Mexican Violetear,3.0,mexican violetear,grnvie1
Green-breasted Mango,4.0,green breasted mango,gnbman
Rivoli's Hummingbird,2.0,rivoli s hummingbird,maghum1
Plain-capped Starthroat,4.0,plain capped starthroat,plcsta
Amethyst-throated Mountain-gem,5.0,amethyst throated mountain gem,amthum3
Blue-throated Mountain-gem,2.0,blue throated mountain gem,buthum
Lucifer Hummingbird,2.0,lucifer hummingbird,luchum
Ruby-throated Hummingbird,1.0,ruby throated hummingbird,rthhum
Black-chinned Hummingbird,1.0,black chinned hummingbird,bkchum
Bahama Woodstar,5.0,bahama woodstar,bahwoo
Anna's Hummingbird,1.0,anna s hummingbird,annhum
Costa's Hummingbird,1.0,costa s hummingbird,coshum
Calliope Hummingbird,1.0,calliope hummingbird,calhum
Rufous Hummingbird,1.0,rufous hummingbird,rufhum
Allen's Hummingbird,1.0,allen s hummingbird,allhum
Broad-tailed Hummingbird,1.0,broad tailed hummingbird,brthum
Bumblebee Hummingbird,5.0,bumblebee hummingbird,bumhum
Broad-billed Hummingbird,2.0,broad billed hummingbird,brbhum
White-eared Hummingbird,3.0,white eared hummingbird,whehum
Xantus's Hummingbird,5.0,xantus s hummingbird,xanhum
Violet-crowned Hummingbird,2.0,violet crowned hummingbird,vichum
Berylline Hummingbird,3.0,berylline hummingbird,berhum2
Cinnamon Hummingbird,5.0,cinnamon hummingbird,cinhum3
Buff-bellied Hummingbird,2.0,buff bellied hummingbird,bubhum2
,nan,nan,
Sungrebe,5.0,sungrebe,sungre1
,nan,nan,
Limpkin,2.0,limpkin,limpki2
,nan,nan,
Sandhill Crane,1.0,sandhill crane,sancra6
Common Crane,4.0,common crane,comcra
Hooded Crane,5.0,hooded crane,hoocra1
Whooping Crane,2.0,whooping crane,whocra
,nan,nan,
Spotted Rail,5.0,spotted rail,sporai
Paint-billed Crake,5.0,paint billed crake,pabcra
Rufous-necked Wood-Rail,5.0,rufous necked wood rail,rnwrai1
Ridgway's Rail,2.0,ridgway s rail,clarai5
King Rail,1.0,king rail,kinrai3
Clapper Rail,1.0,clapper rail,clarai9
Virginia Rail,1.0,virginia rail,virrai
Corn Crake,4.0,corn crake,corcra
Sora,1.0,sora,sora
Common Gallinule,1.0,common gallinule,commoo1
Eurasian (Common) Moorhen,5.0,eurasian moorhen,commoo3
Eurasian Coot,5.0,eurasian coot,eurcoo
Hawaiian Coot,2.0,hawaiian coot,hawcoo2
American Coot,1.0,american coot,carcoo1
Purple Gallinule,1.0,purple gallinule,purgal2
Gray-headed (Purple) Swamphen,2.0,gray headed swamphen,purswa3
Yellow Rail,2.0,yellow rail,yelrai2
Black Rail,2.0,black rail,blkrai3
Laysan Rail,6.0,laysan rail,layrai
Hawaiian Rail,6.0,hawaiian rail,hawrai
,nan,nan,
Double-striped Thick-knee,5.0,double striped thick knee,dstkne
,nan,nan,
Black-winged Stilt,5.0,black winged stilt,bkwsti
Black-necked Stilt,1.0,black necked stilt,bknsti3
American Avocet,1.0,american avocet,ameavo
,nan,nan,
Eurasian Oystercatcher,4.0,eurasian oystercatcher,euroys3
American Oystercatcher,1.0,american oystercatcher,ameoys
Black Oystercatcher,1.0,black oystercatcher,blkoys
,nan,nan,
Black-bellied Plover,1.0,black bellied plover,bkbplo
European Golden-Plover,4.0,european golden plover,eugplo
American Golden-Plover,1.0,american golden plover,amgplo
Pacific Golden-Plover,2.0,pacific golden plover,pagplo
Eurasian Dotterel,4.0,eurasian dotterel,eurdot
Killdeer,1.0,killdeer,killde
Common Ringed Plover,3.0,common ringed plover,corplo
Semipalmated Plover,1.0,semipalmated plover,semplo
Piping Plover,2.0,piping plover,pipplo
Little Ringed Plover,5.0,little ringed plover,lirplo2
Northern Lapwing,4.0,northern lapwing,norlap
Southern Lapwing,5.0,southern lapwing,soulap4
Siberian Sand-Plover,3.0,siberian sand plover,lessap2
Greater Sand-Plover,5.0,greater sand plover,grsplo
Wilson's Plover,1.0,wilson s plover,wilplo
Collared Plover,5.0,collared plover,colplo1
Mountain Plover,2.0,mountain plover,mouplo
Snowy Plover,1.0,snowy plover,snoplo4
Kentish Plover,5.0,kentish plover,snoplo2
,nan,nan,
Northern Jacana,4.0,northern jacana,norjac
,nan,nan,
Upland Sandpiper,1.0,upland sandpiper,uplsan
Bristle-thighed Curlew,2.0,bristle thighed curlew,brtcur
Whimbrel,1.0,whimbrel,whimbr2
Little Curlew,5.0,little curlew,litcur
"Eskimo Curlew (extinct, 1962)",6.0,eskimo curlew,eskcur
Long-billed Curlew,1.0,long billed curlew,lobcur
Far Eastern Curlew,4.0,far eastern curlew,faecur
Slender-billed Curlew,5.0,slender billed curlew,slbcur
Eurasian Curlew,5.0,eurasian curlew,eurcur
Bar-tailed Godwit,2.0,bar tailed godwit,batgod2
Black-tailed Godwit,3.0,black tailed godwit,bktgod4
Hudsonian Godwit,1.0,hudsonian godwit,hudgod
Marbled Godwit,1.0,marbled godwit,margod
Ruddy Turnstone,1.0,ruddy turnstone,rudtur
Black Turnstone,1.0,black turnstone,blktur
Great Knot,4.0,great knot,grekno
Red Knot,1.0,red knot,redkno
Surfbird,1.0,surfbird,surfbi
Ruff,3.0,ruff,ruff
Broad-billed Sandpiper,4.0,broad billed sandpiper,brbsan
Sharp-tailed Sandpiper,3.0,sharp tailed sandpiper,shtsan
Stilt Sandpiper,1.0,stilt sandpiper,stisan
Curlew Sandpiper,3.0,curlew sandpiper,cursan
Temminck's Stint,3.0,temminck s stint,temsti
Long-toed Stint,3.0,long toed stint,lotsti
Spoon-billed Sandpiper,4.0,spoon billed sandpiper,spbsan1
