ABA_ROW_NAME,ABA_CODE,MATCH_VARIANT,SPECIES_CODE
California Condor,2.0,california condor,calcon
Black Vulture,1.0,black vulture,blkvul
Turkey Vulture,1.0,turkey vulture,turvul3
,nan,nan,
Osprey,1.0,osprey,osprey4
,nan,nan,
White-tailed Kite,1.0,white tailed kite,whtkit
Hook-billed Kite,3.0,hook billed kite,hobkit3
Oriental Honey-buzzard,5.0,oriental honey buzzard,orihob10
Swallow-tailed Kite,1.0,swallow tailed kite,swtkit
Golden Eagle,1.0,golden eagle,goleag
Double-toothed Kite,5.0,double toothed kite,dotkit1
Chinese Sparrowhawk,5.0,chinese sparrowhawk,grfhaw1
Sharp-shinned Hawk,1.0,sharp shinned hawk,shshaw5
Eurasian Sparrowhawk,5.0,eurasian sparrowhawk,eurspa1
Cooper's Hawk,1.0,cooper s hawk,coohaw
American Goshawk,1.0,american goshawk,norgos
Hen Harrier,5.0,hen harrier,norhar1
Northern Harrier,1.0,northern harrier,norhar2
Western Marsh Harrier,5.0,western marsh harrier,wemhar1
Black Kite,5.0,black kite,blkkit3
Bald Eagle,1.0,bald eagle,baleag
White-tailed Eagle,4.0,white tailed eagle,whteag
Steller's Sea-Eagle,4.0,steller s sea eagle,stseag
Mississippi Kite,1.0,mississippi kite,miskit
Crane Hawk,5.0,crane hawk,crahaw3
Snail Kite,2.0,snail kite,snakit
Common Black Hawk,2.0,common black hawk,mabhaw1
Great Black Hawk,5.0,great black hawk,grbhaw3
Roadside Hawk,4.0,roadside hawk,roahaw4
Harris's Hawk,1.0,harris s hawk,harhaw2
White-tailed Hawk,2.0,white tailed hawk,whthaw
Gray Hawk,2.0,gray hawk,gryhaw2
Red-shouldered Hawk,1.0,red shouldered hawk,reshaw4
Broad-winged Hawk,1.0,broad winged hawk,brwhaw2
Hawaiian Hawk,2.0,hawaiian hawk,hawhaw
Short-tailed Hawk,2.0,short tailed hawk,shthaw
Swainson's Hawk,1.0,swainson s hawk,swahaw
Zone-tailed Hawk,2.0,zone tailed hawk,zothaw
Red-tailed Hawk,1.0,red tailed hawk,rethaw3
Rough-legged Hawk,1.0,rough legged hawk,rolhaw
Ferruginous Hawk,1.0,ferruginous hawk,ferhaw
Long-legged Buzzard,5.0,long legged buzzard,lolbuz3
,nan,nan,
American Barn Owl,1.0,american barn owl,barowl11
,nan,nan,
Oriental Scops-Owl,5.0,oriental scops owl,orisco2
Flammulated Owl,2.0,flammulated owl,flaowl
Whiskered Screech-Owl,2.0,whiskered screech owl,whsowl1
Western Screech-Owl,1.0,western screech owl,wessco2
Eastern Screech-Owl,1.0,eastern screech owl,eassco2
Great Horned Owl,1.0,great horned owl,grhowl
Snowy Owl,2.0,snowy owl,snoowl1
Northern Hawk Owl,2.0,northern hawk owl,nohowl2
Northern Pygmy-Owl,2.0,northern pygmy owl,norpyo3
Ferruginous Pygmy-Owl,3.0,ferruginous pygmy owl,ferpyo2
Elf Owl,2.0,elf owl,elfowl
Burrowing Owl,1.0,burrowing owl,burowl7
Spotted Owl,2.0,spotted owl,spoowl4
Barred Owl,1.0,barred owl,brdowl
Mottled Owl,5.0,mottled owl,motowl2
Great Gray Owl,2.0,great gray owl,grgowl2
Long-eared Owl,2.0,long eared owl,loeowl2
Stygian Owl,5.0,stygian owl,styowl1
Short-eared Owl,1.0,short eared owl,sheowl6
Boreal Owl,2.0,boreal owl,borowl2
Northern Saw-whet Owl,2.0,northern saw whet owl,nswowl2
Northern Boobook,5.0,northern boobook,norboo1
,nan,nan,
Elegant Trogon,2.0,elegant trogon,eletro2
Eared Quetzal,4.0,eared quetzal,earque
,nan,nan,
Eurasian(Common) Hoopoe,5.0,eurasian hoopoe,eurhoo2
,nan,nan,
Ringed Kingfisher,2.0,ringed kingfisher,rinkin4
Belted Kingfisher,1.0,belted kingfisher,belkin1
Amazon Kingfisher,5.0,amazon kingfisher,amakin1
Green Kingfisher,2.0,green kingfisher,grnkin
,nan,nan,
Eurasian Wryneck,5.0,eurasian wryneck,eurwry
Lewis's Woodpecker,1.0,lewis s woodpecker,lewwoo
Red-headed Woodpecker,1.0,red headed woodpecker,rehwoo
Acorn Woodpecker,1.0,acorn woodpecker,acowoo2
Gila Woodpecker,1.0,gila woodpecker,gilwoo
Golden-fronted Woodpecker,1.0,golden fronted woodpecker,gofwoo3
Red-bellied Woodpecker,1.0,red bellied woodpecker,rebwoo
Williamson's Sapsucker,1.0,williamson s sapsucker,wilsap
Yellow-bellied Sapsucker,1.0,yellow bellied sapsucker,yebsap
Red-naped Sapsucker,1.0,red naped sapsucker,rensap
Red-breasted Sapsucker,1.0,red breasted sapsucker,rebsap2
American Three-toed Woodpecker,2.0,american three toed woodpecker,attwoo4
Black-backed Woodpecker,2.0,black backed woodpecker,bkbwoo
Great Spotted Woodpecker,4.0,great spotted woodpecker,grswoo21
Downy Woodpecker,1.0,downy woodpecker,dowwoo3
Nuttall's Woodpecker,1.0,nuttall s woodpecker,nutwoo
Ladder-backed Woodpecker,1.0,ladder backed woodpecker,labwoo
Red-cockaded Woodpecker,2.0,red cockaded woodpecker,recwoo
Hairy Woodpecker,1.0,hairy woodpecker,haiwoo3
White-headed Woodpecker,1.0,white headed woodpecker,whhwoo
Arizona Woodpecker,2.0,arizona woodpecker,ariwoo
Northern Flicker,1.0,northern flicker,rxyfli
Gilded Flicker,2.0,gilded flicker,gilfli
Pileated Woodpecker,1.0,pileated woodpecker,pilwoo
"Ivory-billed Woodpecker (extinct, 1944)",6.0,ivory billed woodpecker,ivbwoo4
,nan,nan,
Collared Forest-Falcon,5.0,collared forest falcon,coffal1
Crested Caracara,2.0,crested caracara,soucar1
Yellow-headed Caracara,5.0,yellow headed caracara,yehcar1
Eurasian Kestrel,4.0,eurasian kestrel,eurkes5
American Kestrel,1.0,american kestrel,amekes6
Red-footed Falcon,5.0,red footed falcon,reffal1
Merlin,1.0,merlin,blkmer1
Eurasian Hobby,4.0,eurasian hobby,eurhob
Aplomado Falcon,3.0,aplomado falcon,aplfal
Bat Falcon,5.0,bat falcon,batfal1
Gyrfalcon,2.0,gyrfalcon,gyrfal
Peregrine Falcon,1.0,peregrine falcon,perfal20
Prairie Falcon,1.0,prairie falcon,prafal
,nan,nan,
Budgerigar (1975-2015),6.0,budgerigar,budger1
Monk Parakeet,2.0,monk parakeet,monpar2
"Carolina Parakeet (extinct, 1939)",6.0,carolina parakeet,carpar
Nanday Parakeet,2.0,nanday parakeet,bkhpar
Green Parakeet,2.0,green parakeet,grnpar3
Mitred Parakeet,2.0,mitred parakeet,mitpar2
Red-masked Parakeet,2.0,red masked parakeet,rempar
Thick-billed Parrot,5.0,thick billed parrot,thbpar
White-winged Parakeet,2.0,white winged parakeet,whwpar
Yellow-chevroned Parakeet,2.0,yellow chevroned parakeet,yecpar
Red-crowned Amazon,2.0,red crowned amazon,recpar
Lilac-crowned Amazon,2.0,lilac crowned amazon,licpar
Yellow-headed Amazon (1975-1982),6.0,yellow headed amazon,yehpar1
,nan,nan,
Rose-ringed Parakeet,2.0,rose ringed parakeet,rorpar
Rosy-faced Lovebird,2.0,rosy faced lovebird,roflov3
,nan,nan,
Masked Tityra,5.0,masked tityra,mastit1
Gray-collared Becard,5.0,gray collared becard,gycbec1
Rose-throated Becard,3.0,rose throated becard,rotbec
,nan,nan,
Northern Beardless-Tyrannulet,2.0,northern beardless tyrannulet,nobtyr
Greenish Elaenia,5.0,greenish elaenia,greela3
Small-billed Elaenia,5.0,small billed elaenia,smbela1
White-crested Elaenia,5.0,white crested elaenia,whcela3
Dusky-capped Flycatcher,2.0,dusky capped flycatcher,ducfly5
Ash-throated Flycatcher,1.0,ash throated flycatcher,astfly
Nutting's Flycatcher,4.0,nutting s flycatcher,nutfly2
Great Crested Flycatcher,1.0,great crested flycatcher,grcfly
Brown-crested Flycatcher,1.0,brown crested flycatcher,bncfly4
La Sagra's Flycatcher,3.0,la sagra s flycatcher,lasfly
Great Kiskadee,2.0,great kiskadee,grekis
Social Flycatcher,5.0,social flycatcher,socfly5
Sulphur-bellied Flycatcher,2.0,sulphur bellied flycatcher,subfly
Piratic Flycatcher,4.0,piratic flycatcher,pirfly1
Variegated Flycatcher,4.0,variegated flycatcher,varfly
Crowned Slaty Flycatcher,5.0,crowned slaty flycatcher,croslf1
Tropical Kingbird,2.0,tropical kingbird,trokin4
Couch's Kingbird,2.0,couch s kingbird,coukin
Cassin's Kingbird,1.0,cassin s kingbird,caskin
Thick-billed Kingbird,2.0,thick billed kingbird,thbkin
Western Kingbird,1.0,western kingbird,weskin
Eastern Kingbird,1.0,eastern kingbird,easkin
Gray Kingbird,2.0,gray kingbird,grykin
Loggerhead Kingbird,5.0,loggerhead kingbird,logkin2
Scissor-tailed Flycatcher,1.0,scissor tailed flycatcher,sctfly
Fork-tailed Flycatcher,3.0,fork tailed flycatcher,fotfly4
Tufted Flycatcher,4.0,tufted flycatcher,tuffly3
Olive-sided Flycatcher,1.0,olive sided flycatcher,olsfly
Greater Pewee,2.0,greater pewee,grepew2
Western Wood-Pewee,1.0,western wood pewee,wewpew
Eastern Wood-Pewee,1.0,eastern wood pewee,eawpew
Cuban Pewee,4.0,cuban pewee,cubpew1
Yellow-bellied Flycatcher,1.0,yellow bellied flycatcher,yebfly
Acadian Flycatcher,1.0,acadian flycatcher,acafly
Alder Flycatcher,1.0,alder flycatcher,aldfly
Willow Flycatcher,1.0,willow flycatcher,wilfly3
Least Flycatcher,1.0,least flycatcher,leafly
Hammond's Flycatcher,1.0,hammond s flycatcher,hamfly
Gray Flycatcher,1.0,gray flycatcher,gryfly
Dusky Flycatcher,1.0,dusky flycatcher,dusfly
Pine Flycatcher,5.0,pine flycatcher,pinfly1
Western Flycatcher,1.0,western flycatcher,x00770
Buff-breasted Flycatcher,2.0,buff breasted flycatcher,bubfly
Black Phoebe,1.0,black phoebe,blkpho2
Eastern Phoebe,1.0,eastern phoebe,easpho
Say's Phoebe,1.0,say s phoebe,saypho
Vermilion Flycatcher,1.0,vermilion flycatcher,verfly1
,nan,nan,
Black-capped Vireo,2.0,black capped vireo,bkcvir1
White-eyed Vireo,1.0,white eyed vireo,whevir2
Thick-billed Vireo,4.0,thick billed vireo,thbvir
Cuban Vireo,5.0,cuban vireo,cubvir1
Bell's Vireo,1.0,bell s vireo,belvir3
Gray Vireo,2.0,gray vireo,gryvir
Hutton's Vireo,1.0,hutton s vireo,hutvir2
Yellow-throated Vireo,1.0,yellow throated vireo,yetvir
Cassin's Vireo,1.0,cassin s vireo,casvir2
Blue-headed Vireo,1.0,blue headed vireo,buhvir
Plumbeous Vireo,1.0,plumbeous vireo,pluvir2
Philadelphia Vireo,1.0,philadelphia vireo,phivir
Western Warbling-Vireo,1.0,western warbling vireo,
Eastern Warbling-Vireo,1.0,eastern warbling vireo,
Red-eyed Vireo,1.0,red eyed vireo,reevir1
Yellow-green Vireo,3.0,yellow green vireo,yegvir2
Black-whiskered Vireo,2.0,black whiskered vireo,bkwvir
Yucatan Vireo,5.0,yucatan vireo,yucvir
,nan,nan,
Kauai Elepaio,2.0,kauai elepaio,elepai5
Oahu Elepaio,2.0,oahu elepaio,elepai4
Hawaii Elepaio,2.0,hawaii elepaio,elepai2
,nan,nan,
Brown Shrike,4.0,brown shrike,brnshr3
Red-backed Shrike,5.0,red backed shrike,rebshr1
Loggerhead Shrike,1.0,loggerhead shrike,logshr
Northern Shrike,1.0,northern shrike,norshr3
,nan,nan,
Canada Jay,1.0,canada jay,gryjay3
Brown Jay,4.0,brown jay,brnjay
Green Jay,2.0,green jay,grnjay2
Pinyon Jay,1.0,pinyon jay,pinjay
Steller's Jay,1.0,steller s jay,stejay3
Blue Jay,1.0,blue jay,blujay
Florida Scrub-Jay,2.0,florida scrub jay,flsjay
Island Scrub-Jay,2.0,island scrub jay,issjay
California Scrub-Jay,1.0,california scrub jay,cowscj1
Woodhouse's Scrub-Jay,1.0,woodhouse s scrub jay,wesscj1
Mexican Jay,2.0,mexican jay,mexjay5
Clark's Nutcracker,1.0,clark s nutcracker,clanut
Black-billed Magpie,1.0,black billed magpie,bkbmag1
Yellow-billed Magpie,2.0,yellow billed magpie,yebmag
Eurasian Jackdaw,4.0,eurasian jackdaw,eurjac
American Crow,1.0,american crow,amecro
Tamaulipas Crow,4.0,tamaulipas crow,tamcro
Fish Crow,1.0,fish crow,fiscro
Hawaiian Crow,6.0,hawaiian crow,hawcro
Chihuahuan Raven,1.0,chihuahuan raven,chirav
Common Raven,1.0,common raven,comrav
,nan,nan,
Verdin,1.0,verdin,verdin
,nan,nan,
Carolina Chickadee,1.0,carolina chickadee,carchi
Black-capped Chickadee,1.0,black capped chickadee,bkcchi
Mountain Chickadee,1.0,mountain chickadee,mouchi4
Mexican Chickadee,2.0,mexican chickadee,mexchi
Chestnut-backed Chickadee,1.0,chestnut backed chickadee,chbchi
Boreal Chickadee,1.0,boreal chickadee,borchi2
Gray-headed Chickadee,3.0,gray headed chickadee,gyhchi
Bridled Titmouse,2.0,bridled titmouse,britit
Oak Titmouse,1.0,oak titmouse,oaktit
Juniper Titmouse,1.0,juniper titmouse,juntit1
Tufted Titmouse,1.0,tufted titmouse,tuftit
Black-crested Titmouse,2.0,black crested titmouse,blctit4
,nan,nan,
Eurasian Skylark,2.0,eurasian skylark,eursky1
Horned Lark,1.0,horned lark,horlar11
,nan,nan,
Thick-billed Warbler,5.0,thick billed warbler,thbwar1
Icterine Warbler,5.0,icterine warbler,ictwar1
Millerbird,3.0,millerbird,miller2
Sedge Warbler,5.0,sedge warbler,sedwar1
Blyth's Reed Warbler,5.0,blyth s reed warbler,blrwar1
,nan,nan,
Pallas's Grasshopper Warbler,5.0,pallas s grasshopper warbler,pagwar1
Middendorff's Grasshopper Warbler,4.0,middendorff s grasshopper warbler,migwar
Lanceolated Warbler,4.0,lanceolated warbler,lanwar
River Warbler,5.0,river warbler,eurwar2
,nan,nan,
Bank Swallow,1.0,bank swallow,banswa
Tree Swallow,1.0,tree swallow,treswa
Bahama Swallow,4.0,bahama swallow,bahswa
Violet-green Swallow,1.0,violet green swallow,vigswa
Mangrove Swallow,5.0,mangrove swallow,manswa1
Blue-and-white Swallow,5.0,blue and white swallow,bawswa4
Northern Rough-winged Swallow,1.0,northern rough winged swallow,nrwswa2
Brown-chested Martin,4.0,brown chested martin,bncmar2
Purple Martin,1.0,purple martin,purmar2
Southern Martin,5.0,southern martin,soumar
Gray-breasted Martin,5.0,gray breasted martin,gybmar
Cuban Martin,5.0,cuban martin,cubmar
Barn Swallow,1.0,barn swallow,barswa5
Siberian House-Martin,4.0,siberian house martin,comhom2
Cliff Swallow,1.0,cliff swallow,cliswa3
Cave Swallow,1.0,cave swallow,cavswa4
,nan,nan,
Bushtit,1.0,bushtit,bkebus
,nan,nan,
Japanese Bush Warbler,2.0,japanese bush warbler,jabwar6
,nan,nan,
Willow Warbler,4.0,willow warbler,wlwwar
Common Chiffchaff,4.0,common chiffchaff,comchi4
Wood Warbler,4.0,wood warbler,woowar
Dusky Warbler,4.0,dusky warbler,duswar
Pallas's Leaf Warbler,5.0,pallas s leaf warbler,palwar5
Yellow-browed Warbler,4.0,yellow browed warbler,yebwar3
Arctic Warbler,2.0,arctic warbler,arcwar1
Kamchatka Leaf Warbler,4.0,kamchatka leaf warbler,arcwar2
,nan,nan,
Red-vented Bulbul,2.0,red vented bulbul,revbul
Red-whiskered Bulbul,2.0,red whiskered bulbul,rewbul
,nan,nan,
Lesser Whitethroat,5.0,lesser whitethroat,y01049
Wrentit,1.0,wrentit,wrenti
,nan,nan,
Warbling White-eye,2.0,warbling white eye,warwhe1
,nan,nan,
Greater Necklaced Laughingthrush,2.0,greater necklaced laughingthrush,gnlthr
Chinese Hwamei (Hwamei),2.0,chinese hwamei,melthr
Red-billed Leiothrix,2.0,red billed leiothrix,reblei
,nan,nan,
Ruby-crowned Kinglet,1.0,ruby crowned kinglet,ruckin
Golden-crowned Kinglet,1.0,golden crowned kinglet,gockin
,nan,nan,
Bohemian Waxwing,2.0,bohemian waxwing,bohwax
Cedar Waxwing,1.0,cedar waxwing,cedwax
,nan,nan,
Gray Silky-flycatcher,5.0,gray silky flycatcher,grsfly1
Phainopepla,1.0,phainopepla,phaino
,nan,nan,
Kauai Oo,6.0,kauai oo,kauoo
Oahu Oo,6.0,oahu oo,oahoo
Bishop's Oo,6.0,bishop s oo,bisoo
Hawaii Oo,6.0,hawaii oo,hawoo
Kioea,6.0,kioea,kioea
,nan,nan,
Red-breasted Nuthatch,1.0,red breasted nuthatch,rebnut
White-breasted Nuthatch,1.0,white breasted nuthatch,whbnut4
Pygmy Nuthatch,1.0,pygmy nuthatch,pygnut
Brown-headed Nuthatch,1.0,brown headed nuthatch,bnhnut
,nan,nan,
Brown Creeper,1.0,brown creeper,brncre4
,nan,nan,
Blue-gray Gnatcatcher,1.0,blue gray gnatcatcher,buggna3
Black-tailed Gnatcatcher,1.0,black tailed gnatcatcher,bktgna
California Gnatcatcher,2.0,california gnatcatcher,calgna
Black-capped Gnatcatcher,3.0,black capped gnatcatcher,bkcgna
,nan,nan,
Rock Wren,1.0,rock wren,rocwre2
Canyon Wren,1.0,canyon wren,canwre
Sinaloa Wren,5.0,sinaloa wren,sinwre1
Cactus Wren,1.0,cactus wren,cacwre1
Bewick's Wren,1.0,bewick s wren,bewwre1
Carolina Wren,1.0,carolina wren,carwre2
Northern House Wren,1.0,northern house wren,bntwre1
Pacific Wren,1.0,pacific wren,winwre2
Winter Wren,1.0,winter wren,winwre3
Sedge Wren,1.0,sedge wren,sedwre1
Marsh Wren,1.0,marsh wren,marwre4
,nan,nan,
Blue Mockingbird,5.0,blue mockingbird,blumoc
Gray Catbird,1.0,gray catbird,grycat
Curve-billed Thrasher,1.0,curve billed thrasher,cubthr2
Brown Thrasher,1.0,brown thrasher,brnthr
Long-billed Thrasher,2.0,long billed thrasher,lobthr
Bendire's Thrasher,2.0,bendire s thrasher,benthr
California Thrasher,2.0,california thrasher,calthr
LeConte's Thrasher,2.0,leconte s thrasher,lecthr2
Crissal Thrasher,2.0,crissal thrasher,crithr
Sage Thrasher,1.0,sage thrasher,sagthr
Bahama Mockingbird,4.0,bahama mockingbird,bahmoc
Northern Mockingbird,1.0,northern mockingbird,normoc
,nan,nan,
European Starling,1.0,european starling,eursta
Common Myna,2.0,common myna,commyn
Crested Myna (1969-2003),6.0,crested myna,cremyn
,nan,nan,
American Dipper,1.0,american dipper,amedip2
,nan,nan,
Eastern Bluebird,1.0,eastern bluebird,easblu2
Western Bluebird,1.0,western bluebird,wesblu
Mountain Bluebird,1.0,mountain bluebird,moublu
Townsend's Solitaire,1.0,townsend s solitaire,towsol
Brown-backed Solitaire,5.0,brown backed solitaire,brbsol1
Kamao,6.0,kamao,kamao
Amaui,6.0,amaui,amaui
Olomao,6.0,olomao,olomao
Omao,2.0,omao,omao
Puaiohi,2.0,puaiohi,puaioh
Orange-billed Nightingale-Thrush,5.0,orange billed nightingale thrush,orbnit3
Black-headed Nightingale-Thrush,5.0,black headed nightingale thrush,bhnthr1
Veery,1.0,veery,veery
Gray-cheeked Thrush,1.0,gray cheeked thrush,gycthr
Bicknell's Thrush,2.0,bicknell s thrush,bicthr
Swainson's Thrush,1.0,swainson s thrush,swathr2
Hermit Thrush,1.0,hermit thrush,herthr3
Wood Thrush,1.0,wood thrush,woothr
Mistle Thrush,5.0,mistle thrush,misthr1
Eurasian Blackbird,5.0,eurasian blackbird,eurbla
Eyebrowed Thrush,3.0,eyebrowed thrush,eyethr
Dusky Thrush,4.0,dusky thrush,dusthr2
Naumann's Thrush,5.0,naumann s thrush,dusthr1
Fieldfare,4.0,fieldfare,fieldf
Redwing,4.0,redwing,redwin2
Song Thrush,5.0,song thrush,sonthr1
Clay-colored Thrush,2.0,clay colored thrush,clcrob
White-throated Thrush,4.0,white throated thrush,whtthr2
Rufous-backed Robin,3.0,rufous backed robin,rubrob2
American Robin,1.0,american robin,amerob2
Red-legged Thrush,5.0,red legged thrush,relthr3
Varied Thrush,1.0,varied thrush,varthr
Aztec Thrush,4.0,aztec thrush,aztthr
,nan,nan,
Gray-streaked Flycatcher,4.0,gray streaked flycatcher,gysfly1
Asian Brown Flycatcher,4.0,asian brown flycatcher,asbfly3
Spotted Flycatcher,5.0,spotted flycatcher,spofly3
Dark-sided Flycatcher,4.0,dark sided flycatcher,dasfly5
White-rumped Shama,2.0,white rumped shama,whrsha3
European Robin,5.0,european robin,eurrob1
Siberian Blue Robin,5.0,siberian blue robin,sibrob
Rufous-tailed Robin,4.0,rufous tailed robin,rutrob1
Bluethroat,2.0,bluethroat,blueth3
Siberian Rubythroat,3.0,siberian rubythroat,sibrub
Red-flanked Bluetail,4.0,red flanked bluetail,refblu1
Narcissus Flycatcher,5.0,narcissus flycatcher,narfly2
Mugimaki Flycatcher,5.0,mugimaki flycatcher,mugfly
Taiga Flycatcher,4.0,taiga flycatcher,taifly1
Common Redstart,5.0,common redstart,comred6
Rufous-tailed Rock-Thrush (Rock-thrush),5.0,rufous tailed rock thrush,rtrthr1
Blue Rock-Thrush (Rock-thrush),5.0,blue rock thrush,blurot4
Amur (Asian) Stonechat,4.0,amur stonechat,stonec7
Northern Wheatear,2.0,northern wheatear,norwhe1
Pied Wheatear,5.0,pied wheatear,piewhe2
,nan,nan,
Olive Warbler,2.0,olive warbler,oliwar
,nan,nan,
African Silverbill,2.0,african silverbill,afrsil1
Java Sparrow,2.0,java sparrow,javspa
Scaly-breasted Munia,2.0,scaly breasted munia,scbmun2
Tricolored Munia,4.0,tricolored munia,trimun2
Chestnut Munia,2.0,chestnut munia,chemun2
Red Avadavat,2.0,red avadavat,redava2
Lavender Waxbill ,2.0,lavender waxbill,lavwax
Common Waxbill,2.0,common waxbill,comwax
,nan,nan,
Siberian Accentor,4.0,siberian accentor,sibacc
,nan,nan,
House Sparrow,1.0,house sparrow,houspa14
Eurasian Tree Sparrow,2.0,eurasian tree sparrow,eutspa
,nan,nan,
Eastern Yellow Wagtail,2.0,eastern yellow wagtail,weywag9
Citrine Wagtail,5.0,citrine wagtail,citwag2
Gray Wagtail,4.0,gray wagtail,grywag
White Wagtail,3.0,white wagtail,whiwag12
Tree Pipit,4.0,tree pipit,trepip
Olive-backed Pipit,3.0,olive backed pipit,olbpip
Pechora Pipit,4.0,pechora pipit,pecpip2
Red-throated Pipit,3.0,red throated pipit,retpip
Siberian Pipit,3.0,siberian pipit,sibpip1
American Pipit,1.0,american pipit,amepip
Sprague's Pipit,2.0,sprague s pipit,sprpip
,nan,nan,
Common Chaffinch,4.0,common chaffinch,comcha
Brambling,3.0,brambling,brambl
Evening Grosbeak,1.0,evening grosbeak,evegro5
Hawfinch,4.0,hawfinch,hawfin
Common Rosefinch,4.0,common rosefinch,comros
Pallas's Rosefinch,5.0,pallas s rosefinch,palros2
Poo-uli,6.0,poo uli,poouli
Akikiki,2.0,akikiki,akikik
Oahu Alauahio,6.0,oahu alauahio,oahala
Kakawahie,6.0,kakawahie,kakawa
Maui Alauahio,2.0,maui alauahio,mauala
Palila,2.0,palila,palila
Laysan Finch,3.0,laysan finch,layfin
Nihoa Finch,3.0,nihoa finch,nihfin
Kona Grosbeak,6.0,kona grosbeak,kongro
Lesser Koa-Finch,6.0,lesser koa finch,lekfin
Greater Koa-Finch,6.0,greater koa finch,grkfin
Ula-ai-hawane,6.0,ula ai hawane,ulahaw
Akohekohe,2.0,akohekohe,crehon
Laysan Honeycreeper,6.0,laysan honeycreeper,apapan2
Apapane,2.0,apapane,apapan
Iiwi,2.0,iiwi,iiwi
Hawaii Mamo,6.0,hawaii mamo,hawmam1
Black Mamo,6.0,black mamo,blkmam
Ou,6.0,ou,ou
Lanai Hookbill,6.0,lanai hookbill,lanhoo
Maui Parrotbill,2.0,maui parrotbill,maupar
Kauai Nukupuu,6.0,kauai nukupuu,nukupu2
Oahu Nukupuu,6.0,oahu nukupuu,nukupu3
Maui Nukupuu,6.0,maui nukupuu,nukupu1
Akiapolaau,2.0,akiapolaau,akiapo
Lesser Akialoa,6.0,lesser akialoa,lesaki
Kauai Akialoa,6.0,kauai akialoa,greaki4
Oahu Akialoa,6.0,oahu akialoa,greaki2
Maui-nui Akialoa,6.0,maui nui akialoa,greaki3
Anianiau,2.0,anianiau,aniani
Hawaii Amakihi,2.0,hawaii amakihi,hawama2
Oahu Amakihi,2.0,oahu amakihi,oahama
Kauai Amakihi,2.0,kauai amakihi,kauama
Greater Amakihi,6.0,greater amakihi,greama
Hawaii Creeper,2.0,hawaii creeper,hawcre
Akekee,2.0,akekee,akekee
Oahu Akepa,6.0,oahu akepa,akepa2
Maui Akepa,6.0,maui akepa,akepa3
Hawaii Akepa,2.0,hawaii akepa,akepa1
Pine Grosbeak,1.0,pine grosbeak,pingro6
Eurasian Bullfinch,4.0,eurasian bullfinch,eurbul3
Asian Rosy-Finch,5.0,asian rosy finch,asirof7
Gray-crowned Rosy-Finch,1.0,gray crowned rosy finch,gycrof5
Black Rosy-Finch,2.0,black rosy finch,bkrfin
Brown-capped Rosy-Finch,2.0,brown capped rosy finch,bcrfin
House Finch,1.0,house finch,houfin2
Purple Finch,1.0,purple finch,purfin2
Cassin's Finch,1.0,cassin s finch,casfin
Oriental Greenfinch,4.0,oriental greenfinch,origre6
Yellow-fronted Canary,2.0,yellow fronted canary,yefcan
Redpoll,1.0,redpoll,redpol
Red Crossbill,1.0,red crossbill,redcro39
Cassia Crossbill,2.0,cassia crossbill,redcro9
White-winged Crossbill,2.0,white winged crossbill,whwcro2
European Goldfinch,2.0,european goldfinch,eurgol
Eurasian Siskin,5.0,eurasian siskin,eursis
Pine Siskin,1.0,pine siskin,pinsis3
Lesser Goldfinch,1.0,lesser goldfinch,lesgol
Lawrence's Goldfinch,2.0,lawrence s goldfinch,lawgol
American Goldfinch,1.0,american goldfinch,amegfi
Island Canary,3.0,island canary,islcan1
,nan,nan,
Lapland Longspur,1.0,lapland longspur,laplon
Chestnut-collared Longspur,1.0,chestnut collared longspur,chclon
Smith's Longspur,2.0,smith s longspur,smilon
Thick-billed Longspur,2.0,thick billed longspur,mcclon
Snow Bunting,1.0,snow bunting,snobun
McKay's Bunting,3.0,mckay s bunting,mckbun
,nan,nan,
Pine Bunting,5.0,pine bunting,pinbun
Yellow-browed Bunting,5.0,yellow browed bunting,yebbun1
Little Bunting,4.0,little bunting,litbun
Rustic Bunting,3.0,rustic bunting,rusbun
Yellow-throated Bunting,5.0,yellow throated bunting,yetbun1
Yellow-breasted Bunting,4.0,yellow breasted bunting,yebbun
Gray Bunting,5.0,gray bunting,grybun
Pallas's Bunting,4.0,pallas s bunting,palbun
Reed Bunting,4.0,reed bunting,reebun
,nan,nan,
Rufous-winged Sparrow,2.0,rufous winged sparrow,ruwspa
Botteri's Sparrow,2.0,botteri s sparrow,botspa2
Cassin's Sparrow,1.0,cassin s sparrow,casspa
Bachman's Sparrow,1.0,bachman s sparrow,bacspa
Grasshopper Sparrow,1.0,grasshopper sparrow,graspa
Olive Sparrow,2.0,olive sparrow,olispa2
Five-striped Sparrow,2.0,five striped sparrow,fisspa
Black-throated Sparrow,1.0,black throated sparrow,bktspa
Lark Sparrow,1.0,lark sparrow,larspa
Lark Bunting,1.0,lark bunting,larbun
Chipping Sparrow,1.0,chipping sparrow,chispa
Clay-colored Sparrow,1.0,clay colored sparrow,clcspa
Black-chinned Sparrow,1.0,black chinned sparrow,bkcspa
Field Sparrow,1.0,field sparrow,fiespa
Brewer's Sparrow,1.0,brewer s sparrow,timspa3
Worthen's Sparrow,5.0,worthen s sparrow,worspa
Fox Sparrow,1.0,fox sparrow,foxspa20
American Tree Sparrow,1.0,american tree sparrow,amtspa
Dark-eyed Junco,1.0,dark eyed junco,daejun6
